window_start,src_ip,network_packets_all_count,network_packets_dst_count,network_packets_src_count,network_ips_all_count,network_ips_dst_count,network_ips_src_count,network_macs_all_count,network_macs_dst_count,network_macs_src_count,network_ports_all_count,network_ports_dst_count,network_ports_src_count,network_protocols_all_count,network_protocols_dst_count,network_protocols_src_count,network_packet-size_avg,network_packet-size_max,network_packet-size_min,network_packet-size_std_deviation,network_payload-length_avg,network_payload-length_max,network_payload-length_min,network_payload-length_std_deviation,network_ip-length_avg,network_ip-length_max,network_ip-length_min,network_ip-length_std_deviation,network_header-length_avg,network_header-length_max,network_header-length_min,network_header-length_std_deviation,network_ttl_avg,network_ttl_max,network_ttl_min,network_ttl_std_deviation,network_ip-flags_avg,network_ip-flags_max,network_ip-flags_min,network_ip-flags_std_deviation,network_tcp-flags-ack_count,network_tcp-flags-fin_count,network_tcp-flags-psh_count,network_tcp-flags-rst_count,network_tcp-flags-syn_count,network_tcp-flags-urg_count,network_tcp-flags_avg,network_tcp-flags_max,network_tcp-flags_min,network_tcp-flags_std_deviation,network_window-size_avg,network_window-size_max,network_window-size_min,network_window-size_std_deviation,network_mss_avg,network_mss_max,network_mss_min,network_mss_std_deviation,network_time-delta_avg,network_time-delta_max,network_time-delta_min,network_time-delta_std_deviation,network_interval-packets,network_fragmentation-score,network_fragmented-packets,log_data-ranges_avg,log_data-ranges_max,log_data-ranges_min,log_data-ranges_std_deviation,log_data-types_count,log_interval-messages,log_messages_count
1785344126.165,192.168.10.40,4,4,4,2,1,1,2,1,1,5,1,4,1,1,1,66.0,66,66,0.0,32.0,32,32,0.0,52.0,52,52,0.0,20.0,20,20,0.0,54.25,60,50,3.63146,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2641.198397,3051.682949,2031.492233,439.669734,3,0.0,0,0.0,0,0,0.0,1,2641.198397,4
1785344126.165,192.168.10.21,939,939,939,2,1,1,2,1,1,10,1,9,1,1,1,554.0,554,554,0.0,520.0,520,520,0.0,540.0,540,540,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,8.660214,969.784498,0.25773,88.524662,938,0.0,0,0.0,0,0,0.0,1,8.660214,939
1785344126.165,192.168.10.50,32,32,32,8,7,1,8,7,1,20,11,9,2,2,2,212.875,582,54,231.155217,178.875,548,20,231.155217,198.875,568,40,231.155217,20.0,20,20,0.0,64.0,64,64,0.0,1.0,2,0,1.0,16,3,0,8,3,0,18.5625,20,16,1.539836,12376.625,65160,0,25357.296388,1460.0,1460,1460,0.0,268.789907,1010.535717,0.359535,328.667697,31,0.0,0,526.451613,528,516,4.022828,2,268.789907,32
1785344126.165,192.168.10.20,11,11,11,2,1,1,2,1,1,16,8,8,1,1,1,71.818182,74,66,3.562894,37.818182,40,32,3.562894,57.818182,60,52,3.562894,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,3,1,0,0,8,0,5.909091,17,2,6.388264,46856.909091,64240,502,28386.468586,1460.0,1460,1460,0.0,0.755477,1.203537,0.352859,0.28833,10,0.0,0,5.6,8,0,3.666061,1,0.755477,11
1785344126.165,192.168.10.12,4,4,4,3,2,1,3,2,1,6,2,4,2,2,2,60.0,62,54,3.464102,26.0,28,20,3.464102,46.0,48,40,3.464102,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,1,0,0,1,0,0,20.0,20,20,0.0,0.0,0,0,0.0,0,0,0,0.0,2002.688805,3004.922628,1096.531391,782.053828,3,0.0,0,8.0,8,8,0.0,1,2002.688805,4
1785344126.165,192.168.10.30,2,2,2,2,1,1,2,1,1,3,1,2,1,1,1,52.0,52,52,0.0,18.0,18,18,0.0,38.0,38,38,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4547.939777,4547.939777,4547.939777,0.0,1,0.0,0,0.0,0,0,0.0,1,4547.939777,2
1785344126.165,192.168.10.31,3,3,3,3,2,1,3,2,1,5,2,3,2,2,2,59.333333,74,52,10.370899,25.333333,40,18,10.370899,45.333333,60,38,10.370899,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,1,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,2598.383666,5195.332766,1.434565,2596.949101,2,0.0,0,22.0,22,22,0.0,1,2598.383666,3
1785344126.165,192.168.10.11,10,10,10,2,1,1,2,1,1,3,1,2,1,1,1,72.0,88,66,8.579044,38.0,54,32,8.579044,58.0,74,52,8.579044,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,8,2,2,0,2,0,15.0,24,2,7.155418,13249.6,64240,502,25495.2,1460.0,1460,1460,0.0,556.541416,4999.048948,0.766516,1570.66364,9,0.0,0,20.444444,22,8,4.399776,1,556.541416,10
1785344126.165,192.168.10.22,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,74.0,74,74,0.0,40.0,40,40,0.0,60.0,60,60,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,1,0,2.0,2,2,0.0,64240.0,64240,64240,0.0,1460.0,1460,1460,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,0.0,1
1785344136.199,192.168.10.21,1042,1042,1042,2,1,1,2,1,1,11,1,10,1,1,1,554.0,554,554,0.0,520.0,520,520,0.0,540.0,540,540,0.0,20.0,20,20,0.0,64.0,64,64,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,8.759589,968.375206,0.257015,88.914347,1041,0.0,0,0.0,0,0,0.0,1,8.759589,1042
