src_ip,window_start,predicted_label,confidence,top_classes,prob_vector,is_attack,fingerprint_hash
192.168.10.21,1785171736.333,benign,0.428608,"{'benign': 0.428608, 'ddos': 0.152628, 'recon': 0.12271}","[0.428608238697052, 0.004691045731306076, 0.15262800455093384, 0.08588489890098572, 0.12265288084745407, 0.0763874277472496, 0.12271034717559814, 0.006437135394662619]",False,e07779f10994459529e154029a829f47fa966db6410cf55dfda72b400d9e683e
192.168.10.50,1785171736.333,benign,0.994138,"{'benign': 0.994138, 'recon': 0.00288, 'dos': 0.001075}","[0.9941378831863403, 4.969837755197659e-05, 0.0002471132029313594, 0.0010751171503216028, 0.00043091553379781544, 0.0006323030684143305, 0.002880208659917116, 0.0005467351293191314]",False,64e9c28ea209a94566504eb2e3dc2381942bcc523206878d2be0fc43b9508229
192.168.10.20,1785171736.333,recon,0.682988,"{'recon': 0.682988, 'benign': 0.161297, 'ddos': 0.043686}","[0.16129711270332336, 0.012420126236975193, 0.043686263263225555, 0.027983034029603004, 0.03694872185587883, 0.007537445519119501, 0.6829878091812134, 0.027139462530612946]",True,07db0a264403bbba333ef77f66680cfd01cc896700a2b1eb9119175e2bac1587
192.168.10.12,1785171736.333,benign,0.967335,"{'benign': 0.967335, 'dos': 0.015169, 'recon': 0.009094}","[0.9673352837562561, 0.0010693275835365057, 0.005482394713908434, 0.015168684534728527, 0.0010312993545085192, 0.00023735962167847902, 0.009093507193028927, 0.0005821118247695267]",False,7e8449a77309232ece73f2adafe034e9b56ea75eb96cbffca3fdbbe10fc4ad04
192.168.10.11,1785171736.333,benign,0.994419,"{'benign': 0.994419, 'recon': 0.003081, 'bruteforce': 0.000908}","[0.9944186210632324, 0.0009076519636437297, 0.00017999604460783303, 0.0005177949205972254, 0.0002443644916638732, 0.0001144528214354068, 0.0030814933124929667, 0.0005356290494091809]",False,44329b2c3e9053ebbd7509ccbd0c7a1c2f02ac46a7ba7e2d732841cd4efec65d
192.168.10.22,1785171736.333,benign,0.749167,"{'benign': 0.749167, 'dos': 0.114082, 'ddos': 0.113382}","[0.7491670250892639, 0.0026689530350267887, 0.11338216811418533, 0.11408159881830215, 0.004042130894958973, 0.003499973099678755, 0.00434642331674695, 0.008811745792627335]",False,613b35c4334932f4153ee5055d163d2bbee27057211e63decf21042a74728257
192.168.10.21,1785171746.339,benign,0.323278,"{'benign': 0.323278, 'recon': 0.164016, 'ddos': 0.161809}","[0.3232775032520294, 0.005007995758205652, 0.16180938482284546, 0.11745524406433105, 0.1306172013282776, 0.09021463990211487, 0.16401565074920654, 0.007602347992360592]",False,f8c3c17bca02aaa0a0df288b3652de3e94f7001e3594caf3103c3739d269f5b8
192.168.10.50,1785171746.339,benign,0.994209,"{'benign': 0.994209, 'recon': 0.002383, 'dos': 0.001075}","[0.9942094087600708, 4.570944656734355e-05, 0.0002471309853717685, 0.001075194450095296, 0.00034846269409172237, 0.001060964772477746, 0.0023830458521842957, 0.000630038557574153]",False,894a154597123fa50b94837bcc1b1ff9fba946763a15a7229f1bdbf25e2b95cf
192.168.10.12,1785171746.339,benign,0.996489,"{'benign': 0.996489, 'dos': 0.001732, 'recon': 0.001019}","[0.9964890480041504, 0.00028100894996896386, 0.00020154446247033775, 0.0017317371675744653, 9.670292638475075e-05, 0.00012032096128677949, 0.0010194621281698346, 6.021653098287061e-05]",False,9150508c22cc4242d03bdfcf487e904a419723eb7e429ef5662ab9704c2b63bf
192.168.10.20,1785171746.339,recon,0.770465,"{'recon': 0.770465, 'benign': 0.085519, 'web': 0.043526}","[0.0855192169547081, 0.011324280872941017, 0.02149127423763275, 0.029579628258943558, 0.028075063601136208, 0.010018817149102688, 0.7704654335975647, 0.04352625459432602]",True,e8a708e3d3223709eb3c93673a6dcd79a1ef152110049916da584a1b9c0e8566
192.168.10.11,1785171746.339,benign,0.978635,"{'benign': 0.978635, 'recon': 0.015552, 'dos': 0.001902}","[0.9786345958709717, 0.0016439832979813218, 0.0006875566323287785, 0.0019024210050702095, 0.0005051296902820468, 0.00029690394876524806, 0.0155516117811203, 0.000777798646595329]",False,1c3f06bf99d0042308994a881f654823f007fc16bdebce4bb4a91bc3733e1a6c
192.168.10.22,1785171746.339,benign,0.749167,"{'benign': 0.749167, 'dos': 0.114082, 'ddos': 0.113382}","[0.7491670250892639, 0.0026689530350267887, 0.11338216811418533, 0.11408159881830215, 0.004042130894958973, 0.003499973099678755, 0.00434642331674695, 0.008811745792627335]",False,613b35c4334932f4153ee5055d163d2bbee27057211e63decf21042a74728257
192.168.10.12,1785171756.409,benign,0.995944,"{'benign': 0.995944, 'dos': 0.001977, 'recon': 0.001117}","[0.9959444403648376, 0.0004135466879233718, 0.00021714104514103383, 0.0019768476486206055, 0.00010584497067611665, 0.00015812042693141848, 0.0011166372569277883, 6.744837446603924e-05]",False,b5fe661c3a0c5adb7ff5df047579f9ada76f6734ab77d58cbf9dbc489d5254a2
192.168.10.50,1785171756.409,benign,0.993934,"{'benign': 0.993934, 'recon': 0.00288, 'dos': 0.001075}","[0.9939340949058533, 4.5696790039073676e-05, 0.00024706253316253424, 0.0010748967761173844, 0.00043411945807747543, 0.0007546833367086947, 0.00287961820140481, 0.0006298640510067344]",False,89218c7b526858179dbde4d5b0c9e44af4ea25af6ab557fe53c68b5b40818ee5
192.168.10.21,1785171756.409,benign,0.323278,"{'benign': 0.323278, 'recon': 0.164016, 'ddos': 0.161809}","[0.3232775032520294, 0.005007995758205652, 0.16180938482284546, 0.11745524406433105, 0.1306172013282776, 0.09021463990211487, 0.16401565074920654, 0.007602347992360592]",False,f8c3c17bca02aaa0a0df288b3652de3e94f7001e3594caf3103c3739d269f5b8
192.168.10.22,1785171756.409,benign,0.749167,"{'benign': 0.749167, 'dos': 0.114082, 'ddos': 0.113382}","[0.7491670250892639, 0.0026689530350267887, 0.11338216811418533, 0.11408159881830215, 0.004042130894958973, 0.003499973099678755, 0.00434642331674695, 0.008811745792627335]",False,613b35c4334932f4153ee5055d163d2bbee27057211e63decf21042a74728257
